Date,Open,High,Low,Close,Adj Close,Volume
2021-11-23,55.450001,56.270000,55.439999,56.200001,56.200001,5877400
2021-11-24,55.810001,56.380001,55.779999,55.880001,55.880001,4109000
2021-11-26,52.330002,52.380001,48.560001,49.630001,49.630001,18765600
2021-11-29,51.970001,52.169998,49.639999,50.169998,50.169998,13571400
2021-11-30,48.619999,49.110001,46.470001,47.910000,47.910000,21152500
2021-12-01,49.090000,49.520000,46.869999,47.040001,47.040001,12413700
2021-12-02,46.529999,48.599998,46.160000,48.290001,48.290001,14552000
2021-12-03,49.700001,49.930000,47.549999,48.000000,48.000000,10857300
2021-12-06,49.049999,50.720001,48.770000,50.509998,50.509998,8107500
2021-12-07,51.320000,52.560001,51.320000,51.590000,51.590000,9476800
2021-12-08,51.770000,52.660000,51.709999,52.419998,52.419998,5778000
2021-12-09,51.919998,52.070000,50.970001,51.020000,51.020000,5814100
2021-12-10,51.720001,52.099998,51.320000,52.029999,52.029999,6199000
2021-12-13,51.549999,52.099998,51.200001,51.439999,51.439999,6370000
2021-12-14,50.779999,51.230000,50.320000,50.919998,50.919998,4796200
2021-12-15,50.639999,51.689999,50.240002,51.619999,51.619999,5326100
2021-12-16,51.570000,52.459999,51.290001,51.869999,51.869999,4873300
2021-12-17,51.290001,51.430000,50.369999,50.779999,50.779999,5796800
2021-12-20,49.029999,49.980000,47.959999,49.900002,49.900002,8896700
2021-12-21,50.900002,51.610001,50.590000,51.570000,51.570000,4867600
2021-12-22,51.419998,52.520000,51.250000,52.480000,52.480000,5877200
2021-12-23,52.480000,53.240002,52.349998,53.130001,53.130001,3662700
2021-12-27,52.980000,54.650002,52.810001,54.520000,54.520000,4326300
2021-12-28,54.830002,55.139999,54.540001,54.669998,54.669998,2862300
2021-12-29,54.480000,55.669998,54.360001,55.080002,55.080002,3933400
2021-12-30,55.320000,55.730000,55.029999,55.099998,55.099998,3649000
2021-12-31,54.889999,55.169998,54.040001,54.360001,54.360001,2497900
2022-01-03,53.970001,55.160000,53.939999,54.830002,54.830002,5602900
2022-01-04,55.310001,56.049999,55.250000,55.590000,55.590000,4857000
2022-01-05,56.160000,56.480000,55.430000,55.430000,55.430000,5043500
2022-01-06,57.099998,57.310001,56.650002,56.889999,56.889999,4954400
2022-01-07,56.900002,57.040001,56.369999,56.669998,56.669998,6023600
2022-01-10,56.570000,56.779999,55.830002,56.160000,56.160000,3758000
2022-01-11,56.950001,58.279999,56.540001,58.160000,58.160000,6841500
2022-01-12,58.369999,59.169998,58.360001,58.910000,58.910000,5171600
2022-01-13,59.020000,59.130001,58.209999,58.270000,58.270000,4680700
2022-01-14,59.099998,59.980000,59.070000,59.970001,59.970001,6031200
2022-01-18,60.360001,61.090000,60.160000,60.970001,60.970001,6240800
2022-01-19,61.250000,61.900002,60.980000,61.049999,61.049999,5435700
2022-01-20,61.240002,62.169998,60.610001,60.660000,60.660000,4278400
2022-01-21,60.869999,61.240002,60.080002,60.779999,60.779999,5410200
2022-01-24,59.910000,60.220001,58.810001,60.110001,60.110001,9098900
2022-01-25,59.910000,61.169998,59.880001,60.970001,60.970001,6104800
2022-01-26,61.669998,62.520000,61.410000,61.680000,61.680000,6735100
2022-01-27,62.660000,62.709999,61.360001,61.860001,61.860001,5749100
2022-01-28,62.639999,62.990002,61.419998,61.970001,61.970001,4187100
2022-01-31,62.189999,62.500000,61.360001,62.480000,62.480000,3142800
2022-02-01,61.910000,62.759998,61.580002,62.529999,62.529999,4308300
2022-02-02,62.779999,62.860001,61.750000,62.520000,62.520000,3332600
2022-02-03,62.099998,63.810001,61.900002,63.509998,63.509998,5222200
2022-02-04,64.680000,65.349998,64.650002,64.910004,64.910004,4830400
2022-02-07,64.610001,65.050003,64.470001,64.680000,64.680000,2247200
2022-02-08,63.709999,63.830002,62.849998,63.619999,63.619999,4923200
2022-02-09,63.790001,64.370003,63.509998,64.169998,64.169998,3933700
2022-02-10,63.900002,65.080002,63.590000,63.959999,63.959999,4787600
